source	gene ID	gene name	orthologs
OrthoMCL	DDB_G0269192	tifA	M.musculus:ENSMUSP00000026667 | M.musculus:ENSMUSP00000075207 | C.elegans:WBGene00018007 | C.elegans:WBGene00022029 | H.sapiens:ENSP00000269349 | A.thaliana:NP_188610 | S.cerevisiae S288c:YDR021W | D.melanogaster:FBpp0081324
InParanoid	DDB_G0269192	tifA	A.thaliana:At3g19760 | C.elegans:CE09901 | C.elegans:CE34419 | D.melanogaster:FBpp0081324 | E.coli K-12:NP_417631 | H.sapiens:ENSP00000269349 | M.musculus:ENSMUSP00000026667 | S.cerevisiae S288c:YDR021W
JGI/Baylor Sequencing Project	DDB_G0269192	tifA	D.purpureum:DPU_G0062226
OrthoMCL	DDB_G0268020	bkdB	M.musculus:ENSMUSP00000112236 | C.elegans:WBGene00006518 | H.sapiens:ENSP00000318351 | A.thaliana:NP_175947 | A.thaliana:NP_187954 | D.melanogaster:FBpp0112482
InParanoid	DDB_G0268020	bkdB	A.thaliana:At3g13450 | C.elegans:CE05736 | D.melanogaster:FBpp0112482 | H.sapiens:ENSP00000318351 | M.musculus:ENSMUSP00000112236
JGI/Baylor Sequencing Project	DDB_G0268020	bkdB	D.purpureum:DPU_G0064772
JGI/Baylor Sequencing Project	DDB_G0269222	gefB	D.purpureum:DPU_G0062218
JGI/Baylor Sequencing Project	DDB_G0269826	DDB_G0269826	D.purpureum:DPU_G0066068
OrthoMCL	DDB_G0269856	ddcA	M.musculus:ENSMUSP00000011323 | M.musculus:ENSMUSP00000023884 | C.elegans:WBGene00003844 | H.sapiens:ENSP00000234111 | S.cerevisiae S288c:YKL184W | E.coli K-12:AP_003401 | A.thaliana:NP_188056 | A.thaliana:NP_568252 | D.melanogaster:FBpp0087939 | D.melanogaster:FBpp0087940
InParanoid	DDB_G0269856	ddcA	A.thaliana:At5g11880 | E.coli K-12:NP_417315
JGI/Baylor Sequencing Project	DDB_G0269856	ddcA	D.purpureum:DPU_G0060762
OrthoMCL	DDB_G0269864	DDB_G0269864	M.musculus:ENSMUSP00000070467 | H.sapiens:ENSP00000262888
InParanoid	DDB_G0269864	DDB_G0269864	C.elegans:CE32356 | H.sapiens:ENSP00000271915 | M.musculus:ENSMUSP00000000811
JGI/Baylor Sequencing Project	DDB_G0269864	DDB_G0269864	D.purpureum:DPU_G0060040
OrthoMCL	DDB_G0267432	abcG15	M.musculus:ENSMUSP00000024829 | M.musculus:ENSMUSP00000034648 | M.musculus:ENSMUSP00000031239 | M.musculus:ENSMUSP00000031822 | M.musculus:ENSMUSP00000035246 | C.elegans:WBGene00007513 | C.elegans:WBGene00015479 | C.elegans:WBGene00008950 | C.elegans:WBGene00012925 | C.elegans:WBGene00007060 | C.elegans:WBGene00007631 | H.sapiens:ENSP00000304111 | H.sapiens:ENSP00000381464 | H.sapiens:ENSP00000237612 | H.sapiens:ENSP00000272286 | A.thaliana:NP_194472 | A.thaliana:NP_564383 | A.thaliana:NP_172973 | A.thaliana:NP_173005 | A.thaliana:NP_176196 | A.thaliana:NP_176867 | A.thaliana:NP_180259 | A.thaliana:NP_180555 | A.thaliana:NP_181179 | A.thaliana:NP_181265 | A.thaliana:NP_190916 | A.thaliana:NP_193258 | A.thaliana:NP_566543 | A.thaliana:NP_680692 | A.thaliana:NP_680693 | A.thaliana:NP_680694 | A.thaliana:NP_683617 | A.thaliana:NP_178241 | A.thaliana:NP_849921 | A.thaliana:NP_849922 | A.thaliana:NP_973392 | A.thaliana:NP_001031843 | A.thaliana:NP_190799 | A.thaliana:NP_568169 | A.thaliana:NP_850781 | S.cerevisiae S288c:YCR011C | S.cerevisiae S288c:YOL075C | S.cerevisiae S288c:YDR011W | S.cerevisiae S288c:YDR406W | S.cerevisiae S288c:YIL013C | S.cerevisiae S288c:YNR070W | S.cerevisiae S288c:YOR011W | S.cerevisiae S288c:YOR153W | S.cerevisiae S288c:YOR328W | S.cerevisiae S288c:YPL058C | D.melanogaster:FBpp0077117 | D.melanogaster:FBpp0077812 | D.melanogaster:FBpp0079489 | D.melanogaster:FBpp0070468 | D.melanogaster:FBpp0088917
OrthoMCL	DDB_G0267966	pyd1	M.musculus:ENSMUSP00000039429 | C.elegans:WBGene00016103 | E.coli K-12:AP_002744 | E.coli K-12:AP_002743 | H.sapiens:ENSP00000359211 | A.thaliana:NP_188408 | D.melanogaster:FBpp0071273
InParanoid	DDB_G0267966	pyd1	C.elegans:CE38489 | D.melanogaster:FBpp0071272 | H.sapiens:ENSP00000359211 | M.musculus:ENSMUSP00000039429
JGI/Baylor Sequencing Project	DDB_G0267966	pyd1	D.purpureum:DPU_G0070414
JGI/Baylor Sequencing Project	DDB_G0269178	racG	D.purpureum:DPU_G0060756
OrthoMCL	DDB_G0269800	DDB_G0269800	M.musculus:ENSMUSP00000023666 | C.elegans:WBGene00022141 | H.sapiens:ENSP00000315700 | A.thaliana:NP_568990 | A.thaliana:NP_974991 | A.thaliana:NP_974992 | S.cerevisiae S288c:YML102W | D.melanogaster:FBpp0087402
InParanoid	DDB_G0269800	DDB_G0269800	A.thaliana:At5g64630 | C.elegans:CE29916 | D.melanogaster:FBpp0087402 | H.sapiens:ENSP00000315700 | M.musculus:ENSMUSP00000023666 | S.cerevisiae S288c:YML102W
JGI/Baylor Sequencing Project	DDB_G0269800	DDB_G0269800	D.purpureum:DPU_G0060010
JGI/Baylor Sequencing Project	DDB_G0269082	DDB_G0269082	D.purpureum:DPU_G0065910
JGI/Baylor Sequencing Project	DDB_G0269636	DDB_G0269636	D.purpureum:DPU_G0070682
OrthoMCL	DDB_G0269642	mak16l	M.musculus:ENSMUSP00000033983 | C.elegans:WBGene00015811 | H.sapiens:ENSP00000353246 | A.thaliana:NP_173742 | S.cerevisiae S288c:YAL025C | D.melanogaster:FBpp0071198
InParanoid	DDB_G0269642	mak16l	A.thaliana:At1g23280 | C.elegans:CE04006 | D.melanogaster:FBpp0071198 | H.sapiens:ENSP00000353246 | M.musculus:ENSMUSP00000033983 | S.cerevisiae S288c:YAL025C
JGI/Baylor Sequencing Project	DDB_G0269642	mak16l	D.purpureum:DPU_G0061774
OrthoMCL	DDB_G0269658	DDB_G0269658	M.musculus:ENSMUSP00000035303 | M.musculus:ENSMUSP00000045968 | C.elegans:WBGene00022277 | H.sapiens:ENSP00000361564 | H.sapiens:ENSP00000408058 | A.thaliana:NP_199258 | S.cerevisiae S288c:YBR261C | D.melanogaster:FBpp0087463
InParanoid	DDB_G0269658	DDB_G0269658	A.thaliana:At5g44450 | C.elegans:CE28146 | D.melanogaster:FBpp0087463 | H.sapiens:ENSP00000361564 | M.musculus:ENSMUSP00000035303 | S.cerevisiae S288c:YBR261C
JGI/Baylor Sequencing Project	DDB_G0269658	DDB_G0269658	D.purpureum:DPU_G0075582
JGI/Baylor Sequencing Project	DDB_G0269988	DDB_G0269988	D.purpureum:DPU_G0057140
OrthoMCL	DDB_G0269546	DDB_G0269546	M.musculus:ENSMUSP00000107388 | C.elegans:WBGene00018719 | H.sapiens:ENSP00000388756 | D.melanogaster:FBpp0271831
InParanoid	DDB_G0269546	DDB_G0269546	D.melanogaster:FBpp0271831 | H.sapiens:ENSP00000379345 | M.musculus:ENSMUSP00000107388
JGI/Baylor Sequencing Project	DDB_G0269546	DDB_G0269546	D.purpureum:DPU_G0072474
OrthoMCL	DDB_G0269370	DDB_G0269370	M.musculus:ENSMUSP00000034204 | C.elegans:WBGene00009668 | H.sapiens:ENSP00000300291 | A.thaliana:NP_194285 | D.melanogaster:FBpp0110163
InParanoid	DDB_G0269370	DDB_G0269370	A.thaliana:At4g25550 | C.elegans:CE10362 | D.melanogaster:FBpp0110163 | H.sapiens:ENSP00000300291 | M.musculus:ENSMUSP00000034204
JGI/Baylor Sequencing Project	DDB_G0269370	DDB_G0269370	D.purpureum:DPU_G0072534
JGI/Baylor Sequencing Project	DDB_G0268934	DDB_G0268934	D.purpureum:DPU_G0066294
OrthoMCL	DDB_G0268948	DDB_G0268948	A.thaliana:NP_181669 | A.thaliana:NP_193984 | A.thaliana:NP_196644 | S.cerevisiae S288c:YER175C | S.cerevisiae S288c:YHR209W
InParanoid	DDB_G0268948	DDB_G0268948	A.thaliana:At2g41380 | A.thaliana:At5g10830 | S.cerevisiae S288c:YER175C | S.cerevisiae S288c:YHR209W
JGI/Baylor Sequencing Project	DDB_G0268948	DDB_G0268948	D.purpureum:DPU_G0065912
JGI/Baylor Sequencing Project	DDB_G0269840	DDB_G0269840	D.purpureum:DPU_G0055986
OrthoMCL	DDB_G0267552	DDB_G0267552	M.musculus:ENSMUSP00000022097 | C.elegans:WBGene00009051 | H.sapiens:ENSP00000274137 | A.thaliana:NP_566191 | D.melanogaster:FBpp0078662
InParanoid	DDB_G0267552	DDB_G0267552	A.thaliana:At3g03070
JGI/Baylor Sequencing Project	DDB_G0267552	DDB_G0267552	D.purpureum:DPU_G0067352
OrthoMCL	DDB_G0267560	uprt	M.musculus:ENSMUSP00000027839 | M.musculus:ENSMUSP00000050398 | C.elegans:WBGene00008948 | H.sapiens:ENSP00000356853 | H.sapiens:ENSP00000346155 | S.cerevisiae S288c:YNR012W | S.cerevisiae S288c:YHR128W | E.coli K-12:AP_002666 | E.coli K-12:AP_003084 | A.thaliana:NP_175977 | A.thaliana:NP_189355 | A.thaliana:NP_189380 | A.thaliana:NP_198903 | A.thaliana:NP_567747 | A.thaliana:NP_849448 | A.thaliana:NP_974036 | A.thaliana:NP_974037 | A.thaliana:NP_190958 | A.thaliana:NP_850699 | D.melanogaster:FBpp0288805 | D.melanogaster:FBpp0086070
InParanoid	DDB_G0267560	uprt	C.elegans:CE17562 | D.melanogaster:FBpp0076818 | E.coli K-12:NP_416993 | H.sapiens:ENSP00000362481 | M.musculus:ENSMUSP00000085175 | S.cerevisiae S288c:YHR128W
JGI/Baylor Sequencing Project	DDB_G0267560	uprt	D.purpureum:DPU_G0054802
OrthoMCL	DDB_G0269412	paf1	M.musculus:ENSMUSP00000003529 | C.elegans:WBGene00008338 | H.sapiens:ENSP00000221265 | A.thaliana:NP_178091 | S.cerevisiae S288c:YBR279W | D.melanogaster:FBpp0078508
InParanoid	DDB_G0269412	paf1	A.thaliana:At1g79730 | C.elegans:CE20614 | D.melanogaster:FBpp0078508 | H.sapiens:ENSP00000221265 | M.musculus:ENSMUSP00000003529
JGI/Baylor Sequencing Project	DDB_G0269412	paf1	D.purpureum:DPU_G0060300
OrthoMCL	DDB_G0268220	DDB_G0268220	M.musculus:ENSMUSP00000075065 | H.sapiens:ENSP00000346310 | D.melanogaster:FBpp0084451
InParanoid	DDB_G0268220	DDB_G0268220	D.melanogaster:FBpp0084451 | H.sapiens:ENSP00000346310 | M.musculus:ENSMUSP00000075065
JGI/Baylor Sequencing Project	DDB_G0268220	DDB_G0268220	D.purpureum:DPU_G0059568
OrthoMCL	DDB_G0267698	DDB_G0267698	M.musculus:ENSMUSP00000029915 | H.sapiens:ENSP00000357004 | A.thaliana:NP_001077847 | S.cerevisiae S288c:YOR286W | S.cerevisiae S288c:YOR285W | D.melanogaster:FBpp0082125 | D.melanogaster:FBpp0083925
InParanoid	DDB_G0267698	DDB_G0267698	D.melanogaster:FBpp0083925 | H.sapiens:ENSP00000357004 | M.musculus:ENSMUSP00000029915 | S.cerevisiae S288c:YOR285W
JGI/Baylor Sequencing Project	DDB_G0267698	DDB_G0267698	D.purpureum:DPU_G0058302
OrthoMCL	DDB_G0269100	abpC	M.musculus:ENSMUSP00000033699 | M.musculus:ENSMUSP00000052020 | M.musculus:ENSMUSP00000064163 | C.elegans:WBGene00022048 | C.elegans:WBGene00022049 | C.elegans:WBGene00022050 | H.sapiens:ENSP00000327145 | H.sapiens:ENSP00000358879 | H.sapiens:ENSP00000420213 | D.melanogaster:FBpp0288453
InParanoid	DDB_G0269100	abpC	C.elegans:CE20347
JGI/Baylor Sequencing Project	DDB_G0269100	abpC	D.purpureum:DPU_G0060312
OrthoMCL	DDB_G0270430	wipA	M.musculus:ENSMUSP00000092268 | C.elegans:WBGene00020094 | H.sapiens:ENSP00000272746 | S.cerevisiae S288c:YLR337C | D.melanogaster:FBpp0112017
JGI/Baylor Sequencing Project	DDB_G0270430	wipA	D.purpureum:DPU_G0066048
OrthoMCL	DDB_G0268814	DDB_G0268814	M.musculus:ENSMUSP00000078361 | H.sapiens:ENSP00000344401 | D.melanogaster:FBpp0076798
JGI/Baylor Sequencing Project	DDB_G0268814	DDB_G0268814	D.purpureum:DPU_G0065294
InParanoid	DDB_G0269692	DDB_G0269692	M.musculus:ENSMUSP00000035660
JGI/Baylor Sequencing Project	DDB_G0269692	DDB_G0269692	D.purpureum:DPU_G0054196
OrthoMCL	DDB_G0269694	pan2	M.musculus:ENSMUSP00000100871 | C.elegans:WBGene00017951 | H.sapiens:ENSP00000401721 | S.cerevisiae S288c:YGL094C | D.melanogaster:FBpp0087735
InParanoid	DDB_G0269694	pan2	C.elegans:CE01269 | D.melanogaster:FBpp0087735 | H.sapiens:ENSP00000368809 | M.musculus:ENSMUSP00000100871 | S.cerevisiae S288c:YGL094C
JGI/Baylor Sequencing Project	DDB_G0269694	pan2	D.purpureum:DPU_G0059928
OrthoMCL	DDB_G0269696	pakD	M.musculus:ENSMUSP00000023467 | M.musculus:ENSMUSP00000033040 | M.musculus:ENSMUSP00000033640 | C.elegans:WBGene00003911 | C.elegans:WBGene00003144 | H.sapiens:ENSP00000278568 | H.sapiens:ENSP00000314067 | H.sapiens:ENSP00000353864 | S.cerevisiae S288c:YHL007C | S.cerevisiae S288c:YNL298W | S.cerevisiae S288c:YOL113W | D.melanogaster:FBpp0082763 | D.melanogaster:FBpp0113099
JGI/Baylor Sequencing Project	DDB_G0269696	pakD	D.purpureum:DPU_G0059930
JGI/Baylor Sequencing Project	DDB_G0269698	DDB_G0269698	D.purpureum:DPU_G0059932
JGI/Baylor Sequencing Project	DDB_G0269702	DDB_G0269702	D.purpureum:DPU_G0068898
JGI/Baylor Sequencing Project	DDB_G0269240	racH	D.purpureum:DPU_G0065542
JGI/Baylor Sequencing Project	DDB_G0267890	DDB_G0267890	D.purpureum:DPU_G0070196
OrthoMCL	DDB_G0267906	DDB_G0267906	M.musculus:ENSMUSP00000095441 | H.sapiens:ENSP00000364261 | A.thaliana:NP_201518 | A.thaliana:NP_975005
InParanoid	DDB_G0267906	DDB_G0267906	A.thaliana:At5g67170 | H.sapiens:ENSP00000364261 | M.musculus:ENSMUSP00000095441
JGI/Baylor Sequencing Project	DDB_G0267906	DDB_G0267906	D.purpureum:DPU_G0060466
JGI/Baylor Sequencing Project	DDB_G0267934	fnkB	D.purpureum:DPU_G0051700
JGI/Baylor Sequencing Project	DDB_G0268076	DDB_G0268076	D.purpureum:DPU_G0054696
OrthoMCL	DDB_G0268090	DDB_G0268090	E.coli K-12:AP_004452
JGI/Baylor Sequencing Project	DDB_G0268090	DDB_G0268090	D.purpureum:DPU_G0066176
OrthoMCL	DDB_G0268098	nop58	M.musculus:ENSMUSP00000027174 | C.elegans:WBGene00020915 | H.sapiens:ENSP00000264279 | A.thaliana:NP_187157 | A.thaliana:NP_198064 | S.cerevisiae S288c:YOR310C | D.melanogaster:FBpp0078997
InParanoid	DDB_G0268098	nop58	A.thaliana:At5g27120 | A.thaliana:At3g05060 | C.elegans:CE18307 | D.melanogaster:FBpp0078997 | H.sapiens:ENSP00000264279 | M.musculus:ENSMUSP00000027174 | S.cerevisiae S288c:YOR310C
JGI/Baylor Sequencing Project	DDB_G0268098	nop58	D.purpureum:DPU_G0074270
JGI/Baylor Sequencing Project	DDB_G0268680	DDB_G0268680	D.purpureum:DPU_G0066276
OrthoMCL	DDB_G0268698	DDB_G0268698	M.musculus:ENSMUSP00000085170 | C.elegans:WBGene00022812 | H.sapiens:ENSP00000374501 | A.thaliana:NP_191739
InParanoid	DDB_G0268698	DDB_G0268698	A.thaliana:At3g61800 | C.elegans:CE07638 | H.sapiens:ENSP00000374501 | M.musculus:ENSMUSP00000085170
JGI/Baylor Sequencing Project	DDB_G0268698	DDB_G0268698	D.purpureum:DPU_G0066296
JGI/Baylor Sequencing Project	DDB_G0268704	DDB_G0268704	D.purpureum:DPU_G0065558
OrthoMCL	DDB_G0268706	ints3	M.musculus:ENSMUSP00000071422 | C.elegans:WBGene00022360 | H.sapiens:ENSP00000409445 | A.thaliana:NP_193195 | D.melanogaster:FBpp0110478
InParanoid	DDB_G0268706	ints3	C.elegans:CE36766 | D.melanogaster:FBpp0110478 | H.sapiens:ENSP00000318641 | M.musculus:ENSMUSP00000071422
JGI/Baylor Sequencing Project	DDB_G0268706	ints3	D.purpureum:DPU_G0065560
OrthoMCL	DDB_G0267594	pfdn2	M.musculus:ENSMUSP00000006579 | C.elegans:WBGene00019220 | H.sapiens:ENSP00000356989 | A.thaliana:NP_188887 | A.thaliana:NP_850626 | S.cerevisiae S288c:YEL003W | D.melanogaster:FBpp0075967
InParanoid	DDB_G0267594	pfdn2	A.thaliana:At3g22480 | C.elegans:CE23815 | D.melanogaster:FBpp0075967 | H.sapiens:ENSP00000356989 | M.musculus:ENSMUSP00000006579 | S.cerevisiae S288c:YEL003W
JGI/Baylor Sequencing Project	DDB_G0267594	pfdn2	D.purpureum:DPU_G0053546
OrthoMCL	DDB_G0268742	DDB_G0268742	M.musculus:ENSMUSP00000080531 | C.elegans:WBGene00011058 | H.sapiens:ENSP00000357340 | A.thaliana:NP_193452 | A.thaliana:NP_199588 | S.cerevisiae S288c:YJL167W | D.melanogaster:FBpp0087266
JGI/Baylor Sequencing Project	DDB_G0268742	DDB_G0268742	D.purpureum:DPU_G0071640
OrthoMCL	DDB_G0267448	DDB_G0267448	M.musculus:ENSMUSP00000005003 | M.musculus:ENSMUSP00000025713 | H.sapiens:ENSP00000272163 | H.sapiens:ENSP00000279263 | A.thaliana:NP_566975 | S.cerevisiae S288c:YNL280C | D.melanogaster:FBpp0071630
InParanoid	DDB_G0267448	DDB_G0267448	A.thaliana:At3g52940
JGI/Baylor Sequencing Project	DDB_G0267448	DDB_G0267448	D.purpureum:DPU_G0074316
OrthoMCL	DDB_G0268650	DDB_G0268650	M.musculus:ENSMUSP00000063883 | D.melanogaster:FBpp0073442
JGI/Baylor Sequencing Project	DDB_G0268650	DDB_G0268650	D.purpureum:DPU_G0059572
InParanoid	DDB_G0268652	ippB	A.thaliana:At5g63980 | E.coli K-12:NP_418635 | S.cerevisiae S288c:YOL064C
JGI/Baylor Sequencing Project	DDB_G0268652	ippB	D.purpureum:DPU_G0061880
OrthoMCL	DDB_G0269274	dhak	M.musculus:ENSMUSP00000044556 | C.elegans:WBGene00020962 | E.coli K-12:AP_001825 | H.sapiens:ENSP00000378360 | A.thaliana:NP_175276 | A.thaliana:NP_188404 | S.cerevisiae S288c:YML070W | S.cerevisiae S288c:YFL053W
InParanoid	DDB_G0269274	dhak	A.thaliana:At3g17770 | C.elegans:CE21240 | E.coli K-12:NP_415718 | H.sapiens:ENSP00000378360 | M.musculus:ENSMUSP00000044556 | S.cerevisiae S288c:YML070W
JGI/Baylor Sequencing Project	DDB_G0269274	dhak	D.purpureum:DPU_G0053782
JGI/Baylor Sequencing Project	DDB_G0268126	DDB_G0268126	D.purpureum:DPU_G0060872
OrthoMCL	DDB_G0268664	aatA	M.musculus:ENSMUSP00000034097 | M.musculus:ENSMUSP00000026196 | C.elegans:WBGene00015778 | C.elegans:WBGene00020146 | C.elegans:WBGene00016652 | H.sapiens:ENSP00000245206 | H.sapiens:ENSP00000359539 | S.cerevisiae S288c:YLR027C | E.coli K-12:AP_001558 | E.coli K-12:AP_004555 | A.thaliana:NP_001118421 | A.thaliana:NP_180654 | A.thaliana:NP_196713 | A.thaliana:NP_197456 | A.thaliana:NP_564803 | A.thaliana:NP_849838 | A.thaliana:NP_001031767 | A.thaliana:NP_194927 | A.thaliana:NP_849483 | D.melanogaster:FBpp0077537 | D.melanogaster:FBpp0086370
InParanoid	DDB_G0268664	aatA	A.thaliana:At2g30970 | C.elegans:CE02477 | D.melanogaster:FBpp0077537 | E.coli K-12:NP_415448 | H.sapiens:ENSP00000245206 | M.musculus:ENSMUSP00000034097 | S.cerevisiae S288c:YLR027C
JGI/Baylor Sequencing Project	DDB_G0268664	aatA	D.purpureum:DPU_G0066286
JGI/Baylor Sequencing Project	DDB_G0268130	DDB_G0268130	D.purpureum:DPU_G0058318
JGI/Baylor Sequencing Project	DDB_G0269446	DDB_G0269446	D.purpureum:DPU_G0060268
JGI/Baylor Sequencing Project	DDB_G0267608	DDB_G0267608	D.purpureum:DPU_G0067784
OrthoMCL	DDB_G0267636	mybM	M.musculus:ENSMUSP00000063883 | D.melanogaster:FBpp0073442
InParanoid	DDB_G0267636	mybM	A.thaliana:At4g26930 | M.musculus:ENSMUSP00000020156 | S.cerevisiae S288c:YKR099W
JGI/Baylor Sequencing Project	DDB_G0267636	mybM	D.purpureum:DPU_G0063666
OrthoMCL	DDB_G0268784	DDB_G0268784	A.thaliana:NP_177616 | A.thaliana:NP_850228 | A.thaliana:NP_850229 | A.thaliana:NP_173328 | S.cerevisiae S288c:YMR155W
InParanoid	DDB_G0268784	DDB_G0268784	A.thaliana:At2g34350 | S.cerevisiae S288c:YDL054C
JGI/Baylor Sequencing Project	DDB_G0268784	DDB_G0268784	D.purpureum:DPU_G0066128
OrthoMCL	DDB_G0272752	DDB_G0272752	A.thaliana:NP_567956
JGI/Baylor Sequencing Project	DDB_G0272752	DDB_G0272752	D.purpureum:DPU_G0058972
OrthoMCL	DDB_G0271530	pks9	H.sapiens:ENSP00000304592 | D.melanogaster:FBpp0077342 | D.melanogaster:FBpp0112461 | D.melanogaster:FBpp0288532 | M.musculus:ENSMUSP00000052872 | C.elegans:WBGene00009342
OrthoMCL	DDB_G0271532	DDB_G0271532	E.coli K-12:AP_001735 | A.thaliana:NP_179673 | A.thaliana:NP_193880 | A.thaliana:NP_567283 | A.thaliana:NP_567801 | A.thaliana:NP_180560 | A.thaliana:NP_563783 | S.cerevisiae S288c:YDL085W | S.cerevisiae S288c:YMR145C | S.cerevisiae S288c:YML120C
InParanoid	DDB_G0271532	DDB_G0271532	S.cerevisiae S288c:YMR145C
OrthoMCL	DDB_G0269300	DDB_G0269300	M.musculus:ENSMUSP00000044790 | C.elegans:WBGene00006563 | H.sapiens:ENSP00000304903 | A.thaliana:NP_001031859 | A.thaliana:NP_568211 | S.cerevisiae S288c:YHR156C | D.melanogaster:FBpp0079616
InParanoid	DDB_G0269300	DDB_G0269300	A.thaliana:At5g09390 | C.elegans:CE22028 | H.sapiens:ENSP00000304903 | M.musculus:ENSMUSP00000044790
JGI/Baylor Sequencing Project	DDB_G0269300	DDB_G0269300	D.purpureum:DPU_G0062536
OrthoMCL	DDB_G0267486	DDB_G0267486	M.musculus:ENSMUSP00000010348 | M.musculus:ENSMUSP00000034552 | C.elegans:WBGene00013532 | H.sapiens:ENSP00000377311 | H.sapiens:ENSP00000260270 | S.cerevisiae S288c:YPL252C | E.coli K-12:AP_003111 | A.thaliana:NP_001031685 | A.thaliana:NP_192454 | A.thaliana:NP_193841 | A.thaliana:NP_849415 | D.melanogaster:FBpp0076226 | D.melanogaster:FBpp0073095
InParanoid	DDB_G0267486	DDB_G0267486	A.thaliana:At4g21090 | C.elegans:CE25595 | D.melanogaster:FBpp0076226 | H.sapiens:ENSP00000377311 | M.musculus:ENSMUSP00000010348 | S.cerevisiae S288c:YPL252C
JGI/Baylor Sequencing Project	DDB_G0267486	DDB_G0267486	D.purpureum:DPU_G0074336
JGI/Baylor Sequencing Project	DDB_G0267494	DDB_G0267494	D.purpureum:DPU_G0074426
JGI/Baylor Sequencing Project	DDB_G0267522	DDB_G0267522	D.purpureum:DPU_G0054956
OrthoMCL	DDB_G0267824	DDB_G0267824	M.musculus:ENSMUSP00000039810 | C.elegans:WBGene00006510 | H.sapiens:ENSP00000264668 | D.melanogaster:FBpp0082740
JGI/Baylor Sequencing Project	DDB_G0267824	DDB_G0267824	D.purpureum:DPU_G0071892
JGI/Baylor Sequencing Project	DDB_G0267534	DDB_G0267534	D.purpureum:DPU_G0058346
OrthoMCL	DDB_G0270386	DDB_G0270386	M.musculus:ENSMUSP00000040954 | C.elegans:WBGene00008133 | H.sapiens:ENSP00000254730 | D.melanogaster:FBpp0071534
InParanoid	DDB_G0270386	DDB_G0270386	C.elegans:CE24853 | D.melanogaster:FBpp0071534 | H.sapiens:ENSP00000254730 | M.musculus:ENSMUSP00000040954
JGI/Baylor Sequencing Project	DDB_G0270386	DDB_G0270386	D.purpureum:DPU_G0057400
JGI/Baylor Sequencing Project	DDB_G0270388	DDB_G0270388	D.purpureum:DPU_G0067510
InParanoid	DDB_G0268160	gnt12	H.sapiens:ENSP00000309096
OrthoMCL	DDB_G0268166	DDB_G0268166	A.thaliana:NP_564073 | S.cerevisiae S288c:YML079W
JGI/Baylor Sequencing Project	DDB_G0269974	DDB_G0269974	D.purpureum:DPU_G0062680
OrthoMCL	DDB_G0271564	pdhX	C.elegans:WBGene00007824
InParanoid	DDB_G0271564	pdhX	C.elegans:CE15651
JGI/Baylor Sequencing Project	DDB_G0271564	pdhX	D.purpureum:DPU_G0065050
OrthoMCL	DDB_G0271574	DDB_G0271574	A.thaliana:NP_191511
InParanoid	DDB_G0271574	DDB_G0271574	A.thaliana:At3g59520
JGI/Baylor Sequencing Project	DDB_G0271574	DDB_G0271574	D.purpureum:DPU_G0051570
InParanoid	DDB_G0272004	p2xA	H.sapiens:ENSP00000336607 | M.musculus:ENSMUSP00000021141
JGI/Baylor Sequencing Project	DDB_G0274551	rcdBB	D.purpureum:DPU_G0073036
