ensp	cond	symbol
H.sapiens:ENSP00000412670	ga.gdp	EWSR1
H.sapiens:ENSP00000395200	ga.gdp	EWSR1
H.sapiens:ENSP00000330516	ga.gdp	EWSR1
H.sapiens:ENSP00000358866	ga.gdp	FLNA
H.sapiens:ENSP00000358866	ga.gdp	FLNA
H.sapiens:ENSP00000358866	ga.gdp	FLNA
H.sapiens:ENSP00000400142	ga.gdp	EWSR1
H.sapiens:ENSP00000358863	ga.gdp	FLNA
H.sapiens:ENSP00000358863	ga.gdp	FLNA
H.sapiens:ENSP00000358863	ga.gdp	FLNA
H.sapiens:ENSP00000327456	ga.gdp	EWSR1
H.sapiens:ENSP00000397824	ga.gdp	FLNA
H.sapiens:ENSP00000397824	ga.gdp	FLNA
H.sapiens:ENSP00000397824	ga.gdp	FLNA
H.sapiens:ENSP00000393637	ga.gdp	EWSR1
H.sapiens:ENSP00000331699	ga.gdp	EWSR1
H.sapiens:ENSP00000405458	ga.gdp	FLNA
H.sapiens:ENSP00000405458	ga.gdp	FLNA
H.sapiens:ENSP00000405458	ga.gdp	FLNA
H.sapiens:ENSP00000398215	ga.gdp	FLNA
H.sapiens:ENSP00000398215	ga.gdp	FLNA
H.sapiens:ENSP00000398215	ga.gdp	FLNA
H.sapiens:ENSP00000416926	ga.gdp	FLNA
H.sapiens:ENSP00000416926	ga.gdp	FLNA
H.sapiens:ENSP00000416926	ga.gdp	FLNA
H.sapiens:ENSP00000353204	ga.gdp	EWSR1
H.sapiens:ENSP00000330896	ga.gdp	EWSR1
H.sapiens:ENSP00000358872	ga.gdp	FLNA
H.sapiens:ENSP00000358872	ga.gdp	FLNA
H.sapiens:ENSP00000358872	ga.gdp	FLNA
H.sapiens:ENSP00000455567	ga.gdp	RAB11A
H.sapiens:ENSP00000261890	ga.gdp	RAB11A
H.sapiens:ENSP00000454381	ga.gdp	RAB11A
H.sapiens:ENSP00000456638	ga.gdp	RAB11A
H.sapiens:ENSP00000456420	ga.gdp	RAB11A
H.sapiens:ENSP00000454673	ga.gdp	RAB11A
H.sapiens:ENSP00000405767	ga.gdp	RAB11A
H.sapiens:ENSP00000221222	ga.gdp	HOMER3
H.sapiens:ENSP00000439937	ga.gdp	HOMER3
H.sapiens:ENSP00000376162	ga.gdp	HOMER3
H.sapiens:ENSP00000469800	ga.gdp	HOMER3
H.sapiens:ENSP00000471835	ga.gdp	HOMER3
H.sapiens:ENSP00000446026	ga.gdp	HOMER3
H.sapiens:ENSP00000472815	ga.gdp	HOMER3
H.sapiens:ENSP00000470659	ga.gdp	HOMER3
H.sapiens:ENSP00000472800	ga.gdp	HOMER3
H.sapiens:ENSP00000396154	ga.gdp	HOMER3
H.sapiens:ENSP00000348150	ga.gdp	HOMER3
H.sapiens:ENSP00000228825	ga.gdp	ARPC3
H.sapiens:ENSP00000413221	ga.gdp	ARPC3
H.sapiens:ENSP00000446598	ga.gdp	ARPC3
H.sapiens:ENSP00000424293	ga.gdp	RASA2
H.sapiens:ENSP00000286364	ga.gdp	RASA2
H.sapiens:ENSP00000391677	ga.gdp	RASA2
H.sapiens:ENSP00000333994	ga.gdp	HBB
H.sapiens:ENSP00000369671	ga.gdp	HBB
H.sapiens:ENSP00000250559	ga.gdp	RAP1B
H.sapiens:ENSP00000377085	ga.gdp	RAP1B
H.sapiens:ENSP00000401095	ga.gdp	RAP1B
H.sapiens:ENSP00000446027	ga.gdp	RAP1B
H.sapiens:ENSP00000390972	ga.gdp	RAP1B
H.sapiens:ENSP00000445138	ga.gdp	RAP1B
H.sapiens:ENSP00000444786	ga.gdp	RAP1B
H.sapiens:ENSP00000441275	ga.gdp	RAP1B
H.sapiens:ENSP00000439966	ga.gdp	RAP1B
H.sapiens:ENSP00000399986	ga.gdp	RAP1B
H.sapiens:ENSP00000437415	ga.gdp	RAP1B
H.sapiens:ENSP00000444467	ga.gdp	RAP1B
H.sapiens:ENSP00000438088	ga.gdp	RAP1B
H.sapiens:ENSP00000445090	ga.gdp	RAP1B
H.sapiens:ENSP00000441952	ga.gdp	RAP1B
H.sapiens:ENSP00000444060	ga.gdp	RAP1B
H.sapiens:ENSP00000368270	ga.gdp	RAP1B
H.sapiens:ENSP00000446318	ga.gdp	RAP1B
H.sapiens:ENSP00000440466	ga.gdp	RAP1B
H.sapiens:ENSP00000443775	ga.gdp	RAP1B
H.sapiens:ENSP00000444830	ga.gdp	RAP1B
H.sapiens:ENSP00000440014	ga.gdp	RAP1B
H.sapiens:ENSP00000444924	ga.gdp	RAP1B
H.sapiens:ENSP00000445977	ga.gdp	RAP1B
H.sapiens:ENSP00000440635	ga.gdp	RAP1B
H.sapiens:ENSP00000440708	ga.gdp	RAP1B
H.sapiens:ENSP00000438311	ga.gdp	RAP1B
H.sapiens:ENSP00000443851	ga.gdp	RAP1B
H.sapiens:ENSP00000296503	ga.gdp	HMGB2
H.sapiens:ENSP00000404912	ga.gdp	HMGB2
H.sapiens:ENSP00000393448	ga.gdp	HMGB2
H.sapiens:ENSP00000423001	ga.gdp	HMGB2
H.sapiens:ENSP00000327137	ga.gdp	ARPC2
H.sapiens:ENSP00000401070	ga.gdp	ARPC2
H.sapiens:ENSP00000396475	ga.gdp	ARPC2
H.sapiens:ENSP00000412632	ga.gdp	ARPC2
H.sapiens:ENSP00000295685	ga.gdp	ARPC2
H.sapiens:ENSP00000411612	ga.gdp	ARPC2
H.sapiens:ENSP00000263238	ga.gdp	ACTR3
H.sapiens:ENSP00000403125	ga.gdp	ACTR3
H.sapiens:ENSP00000407912	ga.gdp	ACTR3
H.sapiens:ENSP00000394213	ga.gdp	ACTR3
H.sapiens:ENSP00000361816	ga.gdp	SPTAN1
H.sapiens:ENSP00000444987	ga.gdp	ACTR3
H.sapiens:ENSP00000361824	ga.gdp	SPTAN1
H.sapiens:ENSP00000445257	ga.gdp	ACTR3
H.sapiens:ENSP00000350882	ga.gdp	SPTAN1
H.sapiens:ENSP00000402163	ga.gdp	ARPC4-TTLL3
H.sapiens:ENSP00000412284	ga.gdp	ARPC4-TTLL3
H.sapiens:ENSP00000380427	ga.gdp	ARPC4-TTLL3
H.sapiens:ENSP00000393764	ga.gdp	ARPC4-TTLL3
H.sapiens:ENSP00000262982	ga.gdp	CSE1L
H.sapiens:ENSP00000379495	ga.gdp	CSE1L
H.sapiens:ENSP00000446477	ga.gdp	CSE1L
H.sapiens:ENSP00000363512	ga.gdp	ALOX5
H.sapiens:ENSP00000437634	ga.gdp	ALOX5
H.sapiens:ENSP00000379342	ga.gdp	ANXA2
H.sapiens:ENSP00000379342	ga.gdp	ANXA2
H.sapiens:ENSP00000387545	ga.gdp	ANXA2
H.sapiens:ENSP00000387545	ga.gdp	ANXA2
H.sapiens:ENSP00000346032	ga.gdp	ANXA2
H.sapiens:ENSP00000346032	ga.gdp	ANXA2
H.sapiens:ENSP00000229340	ga.gdp	RAB35
H.sapiens:ENSP00000442555	ga.gdp	RAB35
H.sapiens:ENSP00000441883	ga.gdp	RAB35
H.sapiens:ENSP00000443994	ga.gdp	RAB35
H.sapiens:ENSP00000399317	ga.gdp	RAB35
H.sapiens:ENSP00000386756	ga.gdp	ANXA4
H.sapiens:ENSP00000377833	ga.gdp	ANXA4
H.sapiens:ENSP00000441931	ga.gdp	ANXA4
H.sapiens:ENSP00000453754	ga.gdp	ANXA2
H.sapiens:ENSP00000453754	ga.gdp	ANXA2
H.sapiens:ENSP00000411352	ga.gdp	ANXA2
H.sapiens:ENSP00000411352	ga.gdp	ANXA2
H.sapiens:ENSP00000453464	ga.gdp	ANXA2
H.sapiens:ENSP00000453464	ga.gdp	ANXA2
H.sapiens:ENSP00000453039	ga.gdp	ANXA2
H.sapiens:ENSP00000453039	ga.gdp	ANXA2
H.sapiens:ENSP00000453841	ga.gdp	ANXA2
H.sapiens:ENSP00000453841	ga.gdp	ANXA2
H.sapiens:ENSP00000453859	ga.gdp	ANXA2
H.sapiens:ENSP00000453859	ga.gdp	ANXA2
H.sapiens:ENSP00000454096	ga.gdp	ANXA2
H.sapiens:ENSP00000454096	ga.gdp	ANXA2
H.sapiens:ENSP00000452876	ga.gdp	ANXA2
H.sapiens:ENSP00000452876	ga.gdp	ANXA2
H.sapiens:ENSP00000453556	ga.gdp	ANXA2
H.sapiens:ENSP00000453556	ga.gdp	ANXA2
H.sapiens:ENSP00000453356	ga.gdp	ANXA2
H.sapiens:ENSP00000453356	ga.gdp	ANXA2
H.sapiens:ENSP00000453925	ga.gdp	ANXA2
H.sapiens:ENSP00000453925	ga.gdp	ANXA2
H.sapiens:ENSP00000453579	ga.gdp	ANXA2
H.sapiens:ENSP00000453579	ga.gdp	ANXA2
H.sapiens:ENSP00000452921	ga.gdp	ANXA2
H.sapiens:ENSP00000452921	ga.gdp	ANXA2
H.sapiens:ENSP00000453869	ga.gdp	ANXA2
H.sapiens:ENSP00000453869	ga.gdp	ANXA2
H.sapiens:ENSP00000452895	ga.gdp	ANXA2
H.sapiens:ENSP00000452895	ga.gdp	ANXA2
H.sapiens:ENSP00000453174	ga.gdp	ANXA2
H.sapiens:ENSP00000453174	ga.gdp	ANXA2
H.sapiens:ENSP00000453663	ga.gdp	ANXA2
H.sapiens:ENSP00000453663	ga.gdp	ANXA2
H.sapiens:ENSP00000452981	ga.gdp	ANXA2
H.sapiens:ENSP00000452981	ga.gdp	ANXA2
H.sapiens:ENSP00000453739	ga.gdp	ANXA2
H.sapiens:ENSP00000453739	ga.gdp	ANXA2
H.sapiens:ENSP00000453000	ga.gdp	ANXA2
H.sapiens:ENSP00000453000	ga.gdp	ANXA2
H.sapiens:ENSP00000453694	ga.gdp	ANXA2
H.sapiens:ENSP00000453694	ga.gdp	ANXA2
H.sapiens:ENSP00000453770	ga.gdp	ANXA2
H.sapiens:ENSP00000453770	ga.gdp	ANXA2
H.sapiens:ENSP00000452858	ga.gdp	ANXA2
H.sapiens:ENSP00000452858	ga.gdp	ANXA2
H.sapiens:ENSP00000452958	ga.gdp	ANXA2
H.sapiens:ENSP00000452958	ga.gdp	ANXA2
H.sapiens:ENSP00000453566	ga.gdp	ANXA2
H.sapiens:ENSP00000453566	ga.gdp	ANXA2
H.sapiens:ENSP00000453945	ga.gdp	ANXA2
H.sapiens:ENSP00000453945	ga.gdp	ANXA2
H.sapiens:ENSP00000453742	ga.gdp	ANXA2
H.sapiens:ENSP00000453742	ga.gdp	ANXA2
H.sapiens:ENSP00000326031	ga.gdp	PPP1CA
H.sapiens:ENSP00000365936	ga.gdp	PPP1CA
H.sapiens:ENSP00000350974	ga.gdp	PPP1CA
H.sapiens:ENSP00000431146	ga.gdp	PPP1CA
H.sapiens:ENSP00000439568	ga.gdp	PPP1CA
H.sapiens:ENSP00000438409	ga.gdp	PPP1CA
H.sapiens:ENSP00000456266	ga.gdp	CORO1A
H.sapiens:ENSP00000456756	ga.gdp	CORO1A
H.sapiens:ENSP00000219150	ga.gdp	CORO1A
H.sapiens:ENSP00000431348	ga.gdp	GPSM3
H.sapiens:ENSP00000455552	ga.gdp	CORO1A
H.sapiens:ENSP00000433356	ga.gdp	GPSM3
H.sapiens:ENSP00000456457	ga.gdp	CORO1A
H.sapiens:ENSP00000457332	ga.gdp	CORO1A
H.sapiens:ENSP00000414939	ga.gdp	GPSM3
H.sapiens:ENSP00000454752	ga.gdp	CORO1A
H.sapiens:ENSP00000457509	ga.gdp	CORO1A
H.sapiens:ENSP00000407538	ga.gdp	GPSM3
H.sapiens:ENSP00000435723	ga.gdp	GPSM3
H.sapiens:ENSP00000434464	ga.gdp	GPSM3
H.sapiens:ENSP00000413430	ga.gdp	GPSM3
H.sapiens:ENSP00000410087	ga.gdp	GPSM3
H.sapiens:ENSP00000252512	ga.gdp	XPO7
H.sapiens:ENSP00000429290	ga.gdp	XPO7
H.sapiens:ENSP00000410249	ga.gdp	XPO7
H.sapiens:ENSP00000429317	ga.gdp	XPO7
H.sapiens:ENSP00000404853	ga.gdp	XPO7
H.sapiens:ENSP00000250784	ga.gdp	RPS4Y1
H.sapiens:ENSP00000415317	ga.gdp	RPS4Y1
H.sapiens:ENSP00000248975	ga.gdp	YWHAH
H.sapiens:ENSP00000408468	ga.gdp	YWHAH
H.sapiens:ENSP00000380629	ga.gdp	YWHAH
H.sapiens:ENSP00000406747	ga.gdp	YWHAH
H.sapiens:ENSP00000381581	ga.gdp	LCP1
H.sapiens:ENSP00000408052	ga.gdp	LCP1
H.sapiens:ENSP00000402157	ga.gdp	LCP1
H.sapiens:ENSP00000315757	ga.gdp	LCP1
H.sapiens:ENSP00000405134	ga.gdp	LCP1
H.sapiens:ENSP00000389168	ga.gdp	PPP1R12A
H.sapiens:ENSP00000416769	ga.gdp	PPP1R12A
H.sapiens:ENSP00000450059	ga.gdp	PPP1R12A
H.sapiens:ENSP00000449647	ga.gdp	PPP1R12A
H.sapiens:ENSP00000449666	ga.gdp	PPP1R12A
H.sapiens:ENSP00000449514	ga.gdp	PPP1R12A
H.sapiens:ENSP00000446855	ga.gdp	PPP1R12A
H.sapiens:ENSP00000447144	ga.gdp	PPP1R12A
H.sapiens:ENSP00000446816	ga.gdp	PPP1R12A
H.sapiens:ENSP00000450061	ga.gdp	PPP1R12A
H.sapiens:ENSP00000447338	ga.gdp	PPP1R12A
H.sapiens:ENSP00000449843	ga.gdp	PPP1R12A
H.sapiens:ENSP00000261207	ga.gdp	PPP1R12A
H.sapiens:ENSP00000377865	ga.gdp	RPL23
H.sapiens:ENSP00000377866	ga.gdp	RPL23
H.sapiens:ENSP00000420311	ga.gdp	RPL23
H.sapiens:ENSP00000463014	ga.gdp	RPL23
H.sapiens:ENSP00000462773	ga.gdp	RPL23
H.sapiens:ENSP00000463894	ga.gdp	RPL23
H.sapiens:ENSP00000367336	ga.gdp	RPL23
H.sapiens:ENSP00000453508	ga.gdp	TLN2
H.sapiens:ENSP00000453730	ga.gdp	TLN2
H.sapiens:ENSP00000453812	ga.gdp	TLN2
H.sapiens:ENSP00000303476	ga.gdp	TLN2
H.sapiens:ENSP00000325240	ga.gdp	LASP1
H.sapiens:ENSP00000468664	ga.gdp	LASP1
H.sapiens:ENSP00000414803	ga.gdp	LASP1
H.sapiens:ENSP00000391897	ga.gdp	LASP1
H.sapiens:ENSP00000462564	ga.gdp	LASP1
H.sapiens:ENSP00000392853	ga.gdp	LASP1
H.sapiens:ENSP00000401048	ga.gdp	LASP1
H.sapiens:ENSP00000349960	ga.gdp	ACTB
H.sapiens:ENSP00000409264	ga.gdp	ACTB
H.sapiens:ENSP00000407473	ga.gdp	ACTB
H.sapiens:ENSP00000393951	ga.gdp	ACTB
H.sapiens:ENSP00000399487	ga.gdp	ACTB
H.sapiens:ENSP00000401032	ga.gdp	ACTB
H.sapiens:ENSP00000407165	ga.gdp	ACSL1
H.sapiens:ENSP00000381339	ga.gdp	GNAT3
H.sapiens:ENSP00000422607	ga.gdp	ACSL1
H.sapiens:ENSP00000425098	ga.gdp	ACSL1
H.sapiens:ENSP00000281455	ga.gdp	ACSL1
H.sapiens:ENSP00000426244	ga.gdp	ACSL1
H.sapiens:ENSP00000426491	ga.gdp	ACSL1
H.sapiens:ENSP00000425006	ga.gdp	ACSL1
H.sapiens:ENSP00000426150	ga.gdp	ACSL1
H.sapiens:ENSP00000424935	ga.gdp	ACSL1
H.sapiens:ENSP00000425640	ga.gdp	ACSL1
H.sapiens:ENSP00000405687	ga.gdp	ACSL1
H.sapiens:ENSP00000386451	ga.gdp	RAB1A
H.sapiens:ENSP00000387286	ga.gdp	RAB1A
H.sapiens:ENSP00000381540	ga.gdp	RAB1A
H.sapiens:ENSP00000386672	ga.gdp	RAB1A
H.sapiens:ENSP00000348546	ga.gdp	RAB1A
H.sapiens:ENSP00000260638	ga.gdp	RAB1A
H.sapiens:ENSP00000323421	ga.gdp	SMC1A
H.sapiens:ENSP00000476416	ga.gdp	SMC1A
H.sapiens:ENSP00000476958	ga.gdp	SMC1A
H.sapiens:ENSP00000413509	ga.gdp	SMC1A
H.sapiens:ENSP00000364489	ga.gdp	SMC1A
H.sapiens:ENSP00000293677	ga.gdp	RAVER1
H.sapiens:ENSP00000465532	ga.gdp	RAVER1
H.sapiens:ENSP00000468375	ga.gdp	RAVER1
H.sapiens:ENSP00000465753	ga.gdp	RAVER1
H.sapiens:ENSP00000260641	ga.gdp	ACTR2
H.sapiens:ENSP00000367220	ga.gdp	ACTR2
H.sapiens:ENSP00000437383	ga.gdp	ACTR2
H.sapiens:ENSP00000459805	ga.gdp	ALOX5
H.sapiens:ENSP00000420640	ga.gdp	CAPZA2
H.sapiens:ENSP00000418262	ga.gdp	CAPZA2
H.sapiens:ENSP00000354947	ga.gdp	CAPZA2
H.sapiens:ENSP00000408150	ga.gdp	CAPZA2
H.sapiens:ENSP00000419484	ga.gdp	CAPZA2
H.sapiens:ENSP00000395395	ga.gdp	CAPZA2
H.sapiens:ENSP00000393509	ga.gdp	CAPZA2
H.sapiens:ENSP00000377389	ga.gdp	PPP6R3
H.sapiens:ENSP00000436789	ga.gdp	PPP6R3
H.sapiens:ENSP00000433768	ga.gdp	PPP6R3
H.sapiens:ENSP00000431738	ga.gdp	PPP6R3
H.sapiens:ENSP00000433551	ga.gdp	PPP6R3
H.sapiens:ENSP00000434429	ga.gdp	PPP6R3
H.sapiens:ENSP00000431415	ga.gdp	PPP6R3
H.sapiens:ENSP00000265637	ga.gdp	PPP6R3
H.sapiens:ENSP00000433058	ga.gdp	PPP6R3
H.sapiens:ENSP00000377390	ga.gdp	PPP6R3
H.sapiens:ENSP00000265636	ga.gdp	PPP6R3
H.sapiens:ENSP00000437329	ga.gdp	PPP6R3
H.sapiens:ENSP00000433565	ga.gdp	PPP6R3
H.sapiens:ENSP00000432837	ga.gdp	PPP6R3
H.sapiens:ENSP00000436209	ga.gdp	PPP6R3
H.sapiens:ENSP00000434426	ga.gdp	PPP6R3
H.sapiens:ENSP00000436601	ga.gdp	PPP6R3
H.sapiens:ENSP00000433853	ga.gdp	PPP6R3
H.sapiens:ENSP00000377388	ga.gdp	PPP6R3
H.sapiens:ENSP00000215832	ga.gdp	MAPK1
H.sapiens:ENSP00000381803	ga.gdp	MAPK1
H.sapiens:ENSP00000440842	ga.gdp	MAPK1
H.sapiens:ENSP00000367872	ga.gdp	GNB1
H.sapiens:ENSP00000399741	ga.gdp	GNB1
H.sapiens:ENSP00000392765	ga.gdp	GNB1
H.sapiens:ENSP00000416651	ga.gdp	GNB1
H.sapiens:ENSP00000256935	ga.gdp	DOCK2
H.sapiens:ENSP00000256935	ga.gdp	DOCK2
H.sapiens:ENSP00000428850	ga.gdp	DOCK2
H.sapiens:ENSP00000428850	ga.gdp	DOCK2
H.sapiens:ENSP00000429283	ga.gdp	DOCK2
H.sapiens:ENSP00000429283	ga.gdp	DOCK2
H.sapiens:ENSP00000428841	ga.gdp	DOCK2
H.sapiens:ENSP00000428841	ga.gdp	DOCK2
H.sapiens:ENSP00000393451	ga.gdp	DOCK2
H.sapiens:ENSP00000393451	ga.gdp	DOCK2
H.sapiens:ENSP00000438827	ga.gdp	DOCK2
H.sapiens:ENSP00000438827	ga.gdp	DOCK2
H.sapiens:ENSP00000249071	ga.gdp	RAC2
H.sapiens:ENSP00000249071	ga.gdp	RAC2
H.sapiens:ENSP00000385270	ga.gdp	RAC2
H.sapiens:ENSP00000385270	ga.gdp	RAC2
H.sapiens:ENSP00000385590	ga.gdp	RAC2
H.sapiens:ENSP00000385590	ga.gdp	RAC2
H.sapiens:ENSP00000403778	ga.gdp	RAC2
H.sapiens:ENSP00000403778	ga.gdp	RAC2
H.sapiens:ENSP00000385666	ga.gdp	RAC2
H.sapiens:ENSP00000385666	ga.gdp	RAC2
H.sapiens:ENSP00000460235	ga.gdp	GNAI2
H.sapiens:ENSP00000460226	ga.gdp	GNAI2
H.sapiens:ENSP00000459386	ga.gdp	GNAI2
H.sapiens:ENSP00000459828	ga.gdp	GNAI2
H.sapiens:ENSP00000460722	ga.gdp	GNAI2
H.sapiens:ENSP00000459770	ga.gdp	GNAI2
H.sapiens:ENSP00000435410	ga.gdp	GPSM3
H.sapiens:ENSP00000436125	ga.gdp	GPSM3
H.sapiens:ENSP00000414024	ga.gdp	GPSM3
H.sapiens:ENSP00000413975	ga.gdp	GPSM3
H.sapiens:ENSP00000320176	ga.gdp	HCLS1
H.sapiens:ENSP00000387645	ga.gdp	HCLS1
H.sapiens:ENSP00000418299	ga.gdp	HCLS1
H.sapiens:ENSP00000420507	ga.gdp	HCLS1
H.sapiens:ENSP00000380033	ga.gdp	DDX17
H.sapiens:ENSP00000419614	ga.gdp	HCLS1
H.sapiens:ENSP00000385536	ga.gdp	DDX17
H.sapiens:ENSP00000371046	ga.gdp	DDX17
H.sapiens:ENSP00000400766	ga.gdp	DDX17
H.sapiens:ENSP00000313199	ga.gdp	HNRNPD
H.sapiens:ENSP00000313327	ga.gdp	HNRNPD
H.sapiens:ENSP00000426446	ga.gdp	HNRNPD
H.sapiens:ENSP00000305860	ga.gdp	HNRNPD
H.sapiens:ENSP00000424002	ga.gdp	HNRNPD
H.sapiens:ENSP00000420926	ga.gdp	HNRNPD
H.sapiens:ENSP00000421952	ga.gdp	HNRNPD
H.sapiens:ENSP00000426666	ga.gdp	HNRNPD
H.sapiens:ENSP00000422615	ga.gdp	HNRNPD
H.sapiens:ENSP00000425439	ga.gdp	HNRNPD
H.sapiens:ENSP00000439380	ga.gdp	HNRNPD
H.sapiens:ENSP00000437416	ga.gdp	HNRNPD
H.sapiens:ENSP00000371267	ga.gdp	YWHAQ
H.sapiens:ENSP00000238081	ga.gdp	YWHAQ
H.sapiens:ENSP00000398990	ga.gdp	YWHAQ
H.sapiens:ENSP00000334828	ga.gdp	CSMD1
H.sapiens:ENSP00000383047	ga.gdp	CSMD1
H.sapiens:ENSP00000473617	ga.gdp	CSMD1
H.sapiens:ENSP00000430733	ga.gdp	CSMD1
H.sapiens:ENSP00000473359	ga.gdp	CSMD1
H.sapiens:ENSP00000441462	ga.gdp	CSMD1
H.sapiens:ENSP00000446243	ga.gdp	CSMD1
H.sapiens:ENSP00000441675	ga.gdp	CSMD1
H.sapiens:ENSP00000193403	ga.gdp	ACTN1
H.sapiens:ENSP00000377941	ga.gdp	ACTN1
H.sapiens:ENSP00000414272	ga.gdp	ACTN1
H.sapiens:ENSP00000366035	ga.gdp	ACTN1
H.sapiens:ENSP00000452254	ga.gdp	ACTN1
H.sapiens:ENSP00000439828	ga.gdp	ACTN1
H.sapiens:ENSP00000444422	ga.gdp	ACTN1
H.sapiens:ENSP00000450625	ga.gdp	ACTN1
H.sapiens:ENSP00000216281	ga.gdp	HSP90AA1
H.sapiens:ENSP00000450903	ga.gdp	ACTN1
H.sapiens:ENSP00000450764	ga.gdp	ACTN1
