Ensembl Protein ID	HGNC ID(s)	UniProt/SwissProt Accession	UniProt/SwissProt ID
ENSP00000285667	11375	P48723	HSP13_HUMAN
ENSP00000441986	11375		
ENSP00000452626	37444		
ENSP00000320207	37444		
ENSP00000455290	29517	Q96C10	DHX58_HUMAN
ENSP00000458038	29517		
ENSP00000455679	29517		
ENSP00000453546	30747		
ENSP00000383409	10528	Q9NSI8	SAMN1_HUMAN
ENSP00000383411	10528	Q9NSI8	SAMN1_HUMAN
ENSP00000285670	10528		
ENSP00000401381			
ENSP00000456712	4201	Q92830	KAT2A_HUMAN
ENSP00000383407		A8MT66	YU005_HUMAN
ENSP00000462867	4201		
ENSP00000458018	30589	Q9BQS6	HSPB9_HUMAN
ENSP00000373553	30747	P61201	CSN2_HUMAN
ENSP00000299259	30747	P61201	CSN2_HUMAN
ENSP00000457972	9785	P51148	RAB5C_HUMAN
ENSP00000455563	9785	P51148	RAB5C_HUMAN
ENSP00000443664	30747		
ENSP00000456214	9785		
ENSP00000452944	30747		
ENSP00000457540	9785		
ENSP00000453412	30747		
ENSP00000458029	9785		
ENSP00000383060	8001	P48552	NRIP1_HUMAN
ENSP00000383063	8001	P48552	NRIP1_HUMAN
ENSP00000412114	8001		
ENSP00000327213	8001	P48552	NRIP1_HUMAN
ENSP00000457421	8823		
ENSP00000455663	8823		
ENSP00000455931	8823		
ENSP00000454033			
ENSP00000453061			
ENSP00000457218	8823		
ENSP00000283645	18600	Q96RT8	GCP5_HUMAN
ENSP00000409217	18600	Q96RT8	GCP5_HUMAN
ENSP00000453810	18600		
ENSP00000260385	25550	Q96TC7	RMD3_HUMAN
ENSP00000453197	18600		
ENSP00000453357	25550		
ENSP00000342493	25550	Q96TC7	RMD3_HUMAN
ENSP00000453535	25550		
ENSP00000453978	25550		
ENSP00000453199	25550		
ENSP00000260447	4194	P30047	GFRP_HUMAN
ENSP00000454067	4194		
ENSP00000459467	27570	Q7Z6M3	MILR1_HUMAN
ENSP00000453871	4194		
ENSP00000464339	27570		
ENSP00000454195	4194		
ENSP00000464184	27570		
ENSP00000453640	4194		
ENSP00000461976	27570	Q7Z6M3	MILR1_HUMAN
ENSP00000460705	9180	Q9UHN1	DPOG2_HUMAN
ENSP00000464243	9180		
ENSP00000323635	28346	Q96ND0	F210A_HUMAN
ENSP00000220496	25556	Q9NVM6	DJC17_HUMAN
ENSP00000467381	28346		
ENSP00000465396	28346		
ENSP00000468361	28346		
ENSP00000386115	28346	Q96ND0	F210A_HUMAN
ENSP00000453354	25556		
ENSP00000452716	25556		
ENSP00000473912	25556		
ENSP00000453298	25556		
ENSP00000454082	25556		
ENSP00000285679	12624	Q9UHP3	UBP25_HUMAN
ENSP00000299574	12624		
ENSP00000459637	2746	P17844	DDX5_HUMAN
ENSP00000285681	12624	Q9UHP3	UBP25_HUMAN
ENSP00000460989	2746		
ENSP00000463384	2746		
ENSP00000463923	2746		
ENSP00000404086	12624		
ENSP00000462191	2746		
ENSP00000402354	12624		
ENSP00000464256	2746		
ENSP00000462513	2746		
ENSP00000464564	2746		
ENSP00000383044	12624	Q9UHP3	UBP25_HUMAN
ENSP00000462596	2746		
ENSP00000462093	2746		
ENSP00000462587	2746		
ENSP00000321343	17827	O15466	SIA8E_HUMAN
ENSP00000388953	1277	A6NIU2	CU037_HUMAN
ENSP00000445492	17827		
ENSP00000443683	17827		
ENSP00000468112	17827		
ENSP00000466787	17827		
ENSP00000459319	25141	Q96GE4	CEP95_HUMAN
ENSP00000462448	25141		
ENSP00000460790	25141		
ENSP00000462633	25141		
ENSP00000455224	30249	Q6ZRP7	QSOX2_HUMAN
ENSP00000284878	2559	P78310	CXAR_HUMAN
ENSP00000456331	30249		
ENSP00000383030	2559	P78310	CXAR_HUMAN
ENSP00000348620	2559	P78310	CXAR_HUMAN
ENSP00000383029	2559	P78310	CXAR_HUMAN
ENSP00000383033	2559	P78310	CXAR_HUMAN
ENSP00000303395	2559	P78310	CXAR_HUMAN
ENSP00000446426	10075	O43148	MCES_HUMAN
ENSP00000465676	17311	O75928	PIAS2_HUMAN
ENSP00000372804	10075	O43148	MCES_HUMAN
ENSP00000453193	4119		
ENSP00000381648	17311		
ENSP00000456543			
ENSP00000467171	10075		
ENSP00000453457	4119		
ENSP00000457438			
ENSP00000466111	10075	O43148	MCES_HUMAN
ENSP00000467475	10075		
ENSP00000443238	17311		
ENSP00000466252	10075	O43148	MCES_HUMAN
ENSP00000317163	17311	O75928	PIAS2_HUMAN
ENSP00000468261	10075		
ENSP00000262173	10075	O43148	MCES_HUMAN
ENSP00000465312	17311		
ENSP00000468166	17311		
ENSP00000438624	10075		
ENSP00000466596	17311		
ENSP00000468017	17311		
ENSP00000344609	1132	Q14201	BTG3_HUMAN
ENSP00000341178	34489	A8K5M9	CO062_HUMAN
ENSP00000284879	1132	Q14201	BTG3_HUMAN
ENSP00000316632	4119	Q01415	GALK2_HUMAN
ENSP00000424176	38825	O95925	EPPI_HUMAN
ENSP00000453961	4119		
ENSP00000456616	2989	Q8IZD9	DOCK3_HUMAN
ENSP00000413799	1132		
ENSP00000453849	4119		
ENSP00000453241	4119		
ENSP00000454660	15461	P55145	MANF_HUMAN
ENSP00000453129	4119	Q01415	GALK2_HUMAN
ENSP00000457671	15461		
ENSP00000379766	4119		
ENSP00000452679	4119		
ENSP00000453844	4119		
ENSP00000454123	4119		
ENSP00000361735	16163	Q8IUA0	WFDC8_HUMAN
ENSP00000289953	16163	Q8IUA0	WFDC8_HUMAN
ENSP00000453909	4119		
ENSP00000454545	24303	Q8NDT2	RB15B_HUMAN
ENSP00000440312	4119		
ENSP00000452614	4119		
ENSP00000453652	4119		
ENSP00000453133	4119		
ENSP00000320532	20380	Q8NEX5	WFDC9_HUMAN
ENSP00000453252	4119		
ENSP00000453257	4119		
ENSP00000452637	4119		
ENSP00000443220	4119		
ENSP00000454801	26958	Q8NDA8	MROH1_HUMAN
ENSP00000284881	16459	Q9NYK6	EURL_HUMAN
ENSP00000383404	16459	Q9NYK6	EURL_HUMAN
ENSP00000455464	26958		
ENSP00000383403	16459	Q9NYK6	EURL_HUMAN
ENSP00000385566	16459		
ENSP00000455272	26958	Q8NDA8	MROH1_HUMAN
ENSP00000288398	12010	P09493	TPM1_HUMAN
ENSP00000351022	12010	P09493	TPM1_HUMAN
ENSP00000452999	12010		
ENSP00000385107	12010	P09493	TPM1_HUMAN
ENSP00000453324	12010		
ENSP00000350667	12010		
ENSP00000452887	12010		
ENSP00000453941	12010	P09493	TPM1_HUMAN
ENSP00000452879	12010	P09493	TPM1_HUMAN
ENSP00000267996	12010	P09493	TPM1_HUMAN
ENSP00000453062	12010		
ENSP00000453955	12010		
ENSP00000416573	26148	Q6UUV7	CRTC3_HUMAN
ENSP00000452977	12010		
ENSP00000452640	26148		
ENSP00000456223	20758		
ENSP00000334624	12010	P09493	TPM1_HUMAN
ENSP00000268184	26148	Q6UUV7	CRTC3_HUMAN
ENSP00000384315	12010		
ENSP00000455106	15519	Q14137	BOP1_HUMAN
ENSP00000387968	2483		
ENSP00000457617	20758	Q96K21	ZFY19_HUMAN
ENSP00000382993	17807	Q9H9P2	CHODL_HUMAN
ENSP00000453817	12010		
ENSP00000456445	30911	Q9Y4B6	VPRBP_HUMAN
ENSP00000382996	17807	Q9H9P2	CHODL_HUMAN
ENSP00000456082	15519		
ENSP00000454540	30911	Q9Y4B6	VPRBP_HUMAN
ENSP00000453724	12010		
ENSP00000383001	17807	Q9H9P2	CHODL_HUMAN
ENSP00000347498	20758	Q96K21	ZFY19_HUMAN
ENSP00000452658	12010		
ENSP00000454585	30911		
ENSP00000452676	26148		
ENSP00000382992	17807	Q9H9P2	CHODL_HUMAN
ENSP00000322577	12010		
ENSP00000337824	20758	Q96K21	ZFY19_HUMAN
ENSP00000454432	30911		
ENSP00000453050	12010		
ENSP00000453136	12010		
ENSP00000299173	20758	Q96K21	ZFY19_HUMAN
ENSP00000454835	30911		
ENSP00000217109	2483	Q05048	CSTF1_HUMAN
ENSP00000452624	12010		
ENSP00000299295	17807	Q9H9P2	CHODL_HUMAN
ENSP00000405171	2483		
ENSP00000455157	20758		
ENSP00000443566	17807	Q9H9P2	CHODL_HUMAN
ENSP00000476384			
ENSP00000453092	12010		
ENSP00000409035	2483		
ENSP00000339975	17807	Q9H9P2	CHODL_HUMAN
ENSP00000456304	20758		
ENSP00000452830	12010		
ENSP00000458096	20758		
ENSP00000361726	16139	Q9H1F0	WF10A_HUMAN
ENSP00000454704	20758		
ENSP00000456679	20758		
ENSP00000456485	20758		
ENSP00000457839	20758		
ENSP00000348968	20478	Q8NEX6	WFD11_HUMAN
ENSP00000453046	13759		
ENSP00000318753	20478	Q8NEX6	WFD11_HUMAN
ENSP00000327628	20479	Q8IUB3	WF10B_HUMAN
ENSP00000337466	20479	Q8IUB3	WF10B_HUMAN
ENSP00000302938	16131	Q8IUB5	WFD13_HUMAN
ENSP00000279058	16130	Q6UDR6	SPIT4_HUMAN
ENSP00000284885	9490	P98073	ENTK_HUMAN
ENSP00000398253	9490		
ENSP00000474811	9490		
ENSP00000457831	5224		
ENSP00000455669	29123	Q9Y4B4	ARIP4_HUMAN
ENSP00000455173	29123		
ENSP00000455432	5224	Q00613	HSF1_HUMAN
ENSP00000324549	13759	Q7L576	CYFP1_HUMAN
ENSP00000454642	5224		
ENSP00000453233	13759		
ENSP00000457480	5224		
ENSP00000454199	13759	Q7L576	CYFP1_HUMAN
ENSP00000454091	13759		
ENSP00000453917	13759		
ENSP00000467610	25387		
ENSP00000454045	13759		
ENSP00000337815	15957		
ENSP00000405956	13759	Q7L576	CYFP1_HUMAN
ENSP00000457558	5224		
ENSP00000243938	15957	Q8IUB2	WFDC3_HUMAN
ENSP00000466674	25387		
ENSP00000361715	15957		
ENSP00000361713	15957		
ENSP00000457039	5224		
ENSP00000353462	15878	Q9NQ75	CASS4_HUMAN
ENSP00000410027	15878	Q9NQ75	CASS4_HUMAN
ENSP00000453060	13759		
ENSP00000360387	15878	Q9NQ75	CASS4_HUMAN
ENSP00000245121	25387	Q8IYT4	KATL2_HUMAN
ENSP00000348478	25387	Q8IYT4	KATL2_HUMAN
ENSP00000464779	25387		
ENSP00000466302	25387		
ENSP00000467488	25387		
ENSP00000299174	14953	Q9NXH3	PP14D_HUMAN
ENSP00000398342	14953		
ENSP00000370232	5385	O43837	IDH3B_HUMAN
ENSP00000383392	7657	O15394	NCAM2_HUMAN
ENSP00000370223	5385	O43837	IDH3B_HUMAN
ENSP00000284894	7657		
ENSP00000453251	26543		
ENSP00000441887	7657		
ENSP00000468086	6933		
ENSP00000318077	6933	P33032	MC5R_HUMAN
ENSP00000299338	26543	Q96M60	F227B_HUMAN
ENSP00000453028	26543	Q96M60	F227B_HUMAN
ENSP00000333821	6930	Q01718	ACTHR_HUMAN
ENSP00000454624	2843	O75907	DGAT1_HUMAN
ENSP00000382718	6930		
ENSP00000453787	26543		
ENSP00000452616	26543		
ENSP00000457814	2843		
ENSP00000453748	26543		
ENSP00000453379	26543		
ENSP00000261893	16468	P83111	LACTB_HUMAN
ENSP00000454081	26543		
ENSP00000392956	16468	P83111	LACTB_HUMAN
ENSP00000454085	16468		
ENSP00000455711	15950	Q9BWW7	SCRT1_HUMAN
ENSP00000468250	30574		
ENSP00000465159	30574		
ENSP00000464872	30574	Q8TB69	ZN519_HUMAN
ENSP00000454468			
ENSP00000454248			
ENSP00000217131	2547	Q9UBR2	CATZ_HUMAN
ENSP00000457580			
ENSP00000347232	1058	P54132	BLM_HUMAN
ENSP00000284967	14027	Q9NYK5	RM39_HUMAN
ENSP00000454158	1058		
ENSP00000305682	14027	Q9NYK5	RM39_HUMAN
ENSP00000404426	14027		
ENSP00000453359	1058		
ENSP00000023939	15890	Q9BY42	RTF2_HUMAN
ENSP00000379220	15890		
ENSP00000457076	11246	O43278	SPIT1_HUMAN
ENSP00000400322	15890		
ENSP00000342098	11246	O43278	SPIT1_HUMAN
ENSP00000456769	11246		
ENSP00000457284	11246		
ENSP00000349906	15890		
ENSP00000407185	15890		
ENSP00000458074	11246		
ENSP00000405003	29278		
ENSP00000456015	11246		
ENSP00000454315	11246		
ENSP00000455038	11246		
ENSP00000345030	29278	Q9BQW3	COE4_HUMAN
ENSP00000477023	29278		
ENSP00000217133	16257	Q9H4B7	TBB1_HUMAN
ENSP00000409935	11246	O43278	SPIT1_HUMAN
ENSP00000477107	29278		
ENSP00000267843	3685	P21781	FGF7_HUMAN
ENSP00000370022	29278		
ENSP00000454205	3685		
ENSP00000468046	33511	A6NLF2	EA3L2_HUMAN
ENSP00000453048	3685	P21781	FGF7_HUMAN
ENSP00000453980	3685		
ENSP00000421410	33894		
ENSP00000409932	31007	Q3SY89	EA3L1_HUMAN
ENSP00000454983	30224		
ENSP00000454527	30224		
ENSP00000243997	838	P56381	ATP5E_HUMAN
ENSP00000379023	838	P56381	ATP5E_HUMAN
ENSP00000351856	33894	B2RU33	POTEC_HUMAN
ENSP00000361705	16160	Q9H147	TDIF1_HUMAN
ENSP00000331019	18476	Q71UM5	RS27L_HUMAN
ENSP00000328232	24617	Q8NG57	ELOA3_HUMAN
ENSP00000395609	16160		
ENSP00000453764	18476		
ENSP00000401024	16160		
ENSP00000379019	838	P56381	ATP5E_HUMAN
ENSP00000412026	18476		
ENSP00000456755	30224	Q9HAB3	S52A2_HUMAN
ENSP00000383376	14686	P57087	JAM2_HUMAN
ENSP00000392509	16160		
ENSP00000405300	18476		
ENSP00000457772	30224	Q9HAB3	S52A2_HUMAN
ENSP00000400573	16160		
ENSP00000402423	18476		
ENSP00000456685	30224		
ENSP00000420419	14686	P57087	JAM2_HUMAN
ENSP00000457799	30224	Q9HAB3	S52A2_HUMAN
ENSP00000436801	14686		
ENSP00000455014	30224	Q9HAB3	S52A2_HUMAN
ENSP00000331302	30771	Q8IYF1	ELOA2_HUMAN
ENSP00000371940	3805	Q12950	FOXD4_HUMAN
ENSP00000455251	30224	Q9HAB3	S52A2_HUMAN
ENSP00000455884	30224		
ENSP00000318416	14686		
ENSP00000455410	30224		
ENSP00000392611	14686	P57087	JAM2_HUMAN
ENSP00000455440	30224		
ENSP00000454488	30224		
ENSP00000312734	30273	Q92930	RAB8B_HUMAN
ENSP00000453236	30273		
ENSP00000243913	16099	Q6ZNI0	GCNT7_HUMAN
ENSP00000453679	30273		
ENSP00000453111	30273		
ENSP00000348838	15937	O00762	UBE2C_HUMAN
ENSP00000453982	30273		
ENSP00000405463	30273		
ENSP00000335674	15937	O00762	UBE2C_HUMAN
ENSP00000348206	15892	Q9Y3B1	SLMO2_HUMAN
ENSP00000243893	15937		
ENSP00000457181	13603		
ENSP00000360072	15892	Q9Y3B1	SLMO2_HUMAN
ENSP00000333975	15937	O00762	UBE2C_HUMAN
ENSP00000455790	13603		
ENSP00000431440	15892		
ENSP00000361649	15937	O00762	UBE2C_HUMAN
ENSP00000300605	25364	Q9H0R4	HDHD2_HUMAN
ENSP00000457727	13603		
ENSP00000454877	13603		
ENSP00000382971	847		
ENSP00000385878	15937	O00762	UBE2C_HUMAN
ENSP00000362760	23383	Q9HCK0	ZBT26_HUMAN
ENSP00000466602	25364		
ENSP00000362758	23383	Q9HCK0	ZBT26_HUMAN
ENSP00000360379	16100	Q5JX71	F209A_HUMAN
ENSP00000468067	25364		
ENSP00000382966	847	P18859	ATP5J_HUMAN
ENSP00000466710	25364		
ENSP00000467309	25364		
ENSP00000467998	25364		
ENSP00000284971	847	P18859	ATP5J_HUMAN
ENSP00000360376	16101	Q5JX69	F209B_HUMAN
ENSP00000467775	25364		
ENSP00000385399	30926	Q8N5C7	DTWD1_HUMAN
ENSP00000389649	847	P18859	ATP5J_HUMAN
ENSP00000465829	25364		
ENSP00000466923	25364		
ENSP00000382962	847	P18859	ATP5J_HUMAN
ENSP00000452628	30926	Q8N5C7	DTWD1_HUMAN
ENSP00000465282	25364		
ENSP00000382959	847	P18859	ATP5J_HUMAN
ENSP00000382965	847	P18859	ATP5J_HUMAN
ENSP00000453529	30926	Q8N5C7	DTWD1_HUMAN
ENSP00000453686	30926		
ENSP00000453071	30926		
ENSP00000220507	18313	Q96L33	RHOV_HUMAN
ENSP00000453649	30926		
ENSP00000452685	30926		
ENSP00000369979	15771	Q96SM3	CPXM1_HUMAN
ENSP00000251250	30926	Q8N5C7	DTWD1_HUMAN
ENSP00000329313	30926	Q8N5C7	DTWD1_HUMAN
ENSP00000398958	30926	Q8N5C7	DTWD1_HUMAN
ENSP00000473358			
ENSP00000473502			
ENSP00000268171	8568	P09958	FURIN_HUMAN
ENSP00000452730	8568		
ENSP00000465194			
ENSP00000453212	8568		
ENSP00000456860	21738		
ENSP00000453942	8568		
ENSP00000337618	17044	Q8N8Q9	NIPA2_HUMAN
ENSP00000456871	21738		
ENSP00000381095	17044	Q8N8Q9	NIPA2_HUMAN
ENSP00000456581	21738		
ENSP00000437746	17044	Q8N8Q9	NIPA2_HUMAN
ENSP00000352762	17044	Q8N8Q9	NIPA2_HUMAN
ENSP00000453700	17044		
ENSP00000455031	21738		
ENSP00000201031	11744	Q92754	AP2C_HUMAN
ENSP00000381096	17044	Q8N8Q9	NIPA2_HUMAN
ENSP00000390857	11744		
ENSP00000360069	16167	Q5JPB2	ZN831_HUMAN
ENSP00000442274	11744		
ENSP00000456977	21738	Q3MIX3	ADCK5_HUMAN
ENSP00000346886	4071	Q06546	GABPA_HUMAN
ENSP00000220509	15972	Q9P253	VPS18_HUMAN
ENSP00000455485	21738		
ENSP00000453265	15972		
ENSP00000382948	4071	Q06546	GABPA_HUMAN
ENSP00000453555	15972		
ENSP00000453002	24080		
ENSP00000361636	11944	P02585	TNNC2_HUMAN
ENSP00000361638	11944		
ENSP00000256433	18550	Q9Y5U9	IR3IP_HUMAN
ENSP00000261879	24080	Q8WW43	APH1B_HUMAN
ENSP00000369700	24080	Q8WW43	APH1B_HUMAN
ENSP00000369697	24080		
ENSP00000453327	24080		
ENSP00000453516	24080		
ENSP00000414386	17155	Q9Y3P9	RBGP1_HUMAN
ENSP00000249749	2910	Q9NR61	DLL4_HUMAN
ENSP00000337128	3178	P14138	EDN3_HUMAN
ENSP00000311854	3178	P14138	EDN3_HUMAN
ENSP00000354312	40044		
ENSP00000360064	3178		
ENSP00000369959	40044	Q8WW34	TM239_HUMAN
ENSP00000379015	3178	P14138	EDN3_HUMAN
ENSP00000452175	40044		
ENSP00000360067	3178	P14138	EDN3_HUMAN
ENSP00000369967			
ENSP00000362751	17155	Q9Y3P9	RBGP1_HUMAN
ENSP00000384119	17155		
ENSP00000416327	17155		
ENSP00000473907	16134	Q9NUB4	CT141_HUMAN
ENSP00000414750	32695	Q2VWA4	SKOR2_HUMAN
ENSP00000369963	16134	Q9NUB4	CT141_HUMAN
ENSP00000383255	32695	Q2VWA4	SKOR2_HUMAN
ENSP00000362747	17155		
ENSP00000362746	4476	Q99679	GPR21_HUMAN
ENSP00000454354	2324		
ENSP00000379204	1074	P18075	BMP7_HUMAN
ENSP00000379205	1074		
ENSP00000398687	1074		
ENSP00000351875	24165	Q9BXX2	AN30B_HUMAN
ENSP00000390814	1074		
ENSP00000463332	24165	Q9BXX2	AN30B_HUMAN
ENSP00000399031	24165	Q9BXX2	AN30B_HUMAN
ENSP00000474824	16212		
ENSP00000457146	2324	Q10570	CPSF1_HUMAN
ENSP00000457485	2324		
ENSP00000455770	2324		
ENSP00000353868	16212	Q9H1Q7	PED1A_HUMAN
ENSP00000349334	16212	Q9H1Q7	PED1A_HUMAN
ENSP00000388935	16212		
ENSP00000401711	16212		
ENSP00000262160	6768	Q15796	SMAD2_HUMAN
ENSP00000384449	6768	Q15796	SMAD2_HUMAN
ENSP00000452663	13536		
ENSP00000466193	6768	Q15796	SMAD2_HUMAN
ENSP00000467075	6768		
ENSP00000410477	3657		
ENSP00000466254	6768		
ENSP00000432626	16462		
ENSP00000465355	6768		
ENSP00000433106	16462		
ENSP00000468202	6768		
ENSP00000348915	17134	Q9BRT8	CBWD1_HUMAN
ENSP00000431190	16462		
ENSP00000465971	6768		
ENSP00000468732	6768		
ENSP00000337452	17043	Q7RTP0	NIPA1_HUMAN
ENSP00000349282	6768	Q15796	SMAD2_HUMAN
ENSP00000371885	17134	Q9BRT8	CBWD1_HUMAN
ENSP00000393962	17043	Q7RTP0	NIPA1_HUMAN
ENSP00000453229	13536		
ENSP00000453286	17043		
ENSP00000453722	17043	Q7RTP0	NIPA1_HUMAN
ENSP00000453797	17043		
ENSP00000360310	11250	Q9Y5K1	SPO11_HUMAN
ENSP00000456328	17129		
ENSP00000453237	17043		
ENSP00000316034	11250	Q9Y5K1	SPO11_HUMAN
ENSP00000360307	11250		
ENSP00000456522	17129		
ENSP00000413185	11250		
ENSP00000323433	17134	Q9BRT8	CBWD1_HUMAN
ENSP00000440957	17043		
ENSP00000431842	11250		
ENSP00000456159	17129		
ENSP00000453169	13536	Q8TF62	AT8B4_HUMAN
ENSP00000453070	13536		
ENSP00000366666	17134		
ENSP00000406064	17134		
ENSP00000453690	13536		
ENSP00000452956	13536		
ENSP00000331504	3657	P07332	FES_HUMAN
ENSP00000371830	17134	Q9BRT8	CBWD1_HUMAN
ENSP00000371826	17134		
ENSP00000454146	3657		
ENSP00000178638	1371	O43570	CAH12_HUMAN
ENSP00000321347	16462	Q96SI9	STRBP_HUMAN
ENSP00000414629	3657	P07332	FES_HUMAN
ENSP00000366617	17134		
ENSP00000354271	16462	Q96SI9	STRBP_HUMAN
ENSP00000454089	3657		
ENSP00000343088	1371	O43570	CAH12_HUMAN
ENSP00000377839	3657		
ENSP00000453482	13536		
ENSP00000403028	1371		
ENSP00000392696	3657		
ENSP00000453143	13536		
ENSP00000435811	3657		
ENSP00000371824	26436	Q5T8R8	CI066_HUMAN
ENSP00000453539	13536		
ENSP00000395425	3657		
ENSP00000284509	13536	Q8TF62	AT8B4_HUMAN
ENSP00000377837	3657	P07332	FES_HUMAN
ENSP00000400868	3657	P07332	FES_HUMAN
ENSP00000384292	16462		
ENSP00000409915	3657	P07332	FES_HUMAN
ENSP00000431531	16462		
ENSP00000353002	15833	Q96KR7	PHAR3_HUMAN
ENSP00000395466	28680	Q9BUX1	CHAC1_HUMAN
ENSP00000415968	16462	Q96SI9	STRBP_HUMAN
ENSP00000390915	15833		
ENSP00000398105	28680	Q9BUX1	CHAC1_HUMAN
ENSP00000360054	15833	Q96KR7	PHAR3_HUMAN
ENSP00000452707	28680		
ENSP00000347866	15833	Q96KR7	PHAR3_HUMAN
ENSP00000378998	15833	Q96KR7	PHAR3_HUMAN
ENSP00000354555	15833	Q96KR7	PHAR3_HUMAN
ENSP00000382697	10251	Q13464	ROCK1_HUMAN
ENSP00000456843	18178	Q9UK41	VPS28_HUMAN
ENSP00000462004	10251		
ENSP00000379001	15833	Q96KR7	PHAR3_HUMAN
ENSP00000442483	15833	Q96KR7	PHAR3_HUMAN
ENSP00000457919	18178	Q9UK41	VPS28_HUMAN
ENSP00000454249	18178		
ENSP00000454912	18178		
ENSP00000456061	18178		
ENSP00000454772	18178		
ENSP00000420169	16154	Q969T3	SNX21_HUMAN
ENSP00000418593	16154	Q969T3	SNX21_HUMAN
ENSP00000344586	16154	Q969T3	SNX21_HUMAN
ENSP00000361620	16154		
ENSP00000361619	16154		
ENSP00000454431			
